Kinase Name	weighted_sum	cnt
AKT1	4.43104991421365	10
Erk2	2.77058243962269	16
p38a	2.77058243962269	16
p38d	2.77058243962269	16
CHK2	2.71634615384615	6
CK2a2	2.44315445476436	8
CK2a1	2.44315445476436	8
CDK6	1.7269570018796	16
PFTAIRE1	1.7269570018796	16
FRAP	1.65656789031402	6
CDK2	1.63642234958024	10
IKKa	1.5	2
CDK5	1.4769570018796	15
CDC2	1.47201132201132	7
AurB	1.08585055643879	3
NIK	1	1
AurA	1	1
GSK3A	0.896636645088657	5
PKACa	0.85025935025935	5
PRKX	0.85025935025935	5
PKACb	0.85025935025935	5
Trad	0.700657137139167	12
PSKH1	0.700657137139167	12
TSSK3	0.700657137139167	12
TSSK2	0.700657137139167	12
VACAMKL	0.700657137139167	12
PIM2	0.700657137139167	12
PIM1	0.700657137139167	12
PKG1	0.682539682539683	3
CHK1	0.653846153846154	3
Erk1	0.603915772956021	9
Erk5	0.603915772956021	9
Erk3	0.603915772956021	9
JNK3	0.603915772956021	9
JNK1	0.603915772956021	9
p38b	0.603915772956021	9
JNK2	0.603915772956021	9
CDK4	0.530878570507053	11
PCTAIRE2	0.530878570507053	11
PCTAIRE1	0.530878570507053	11
RAF1	0.525	3
KSR1	0.525	3
ARAF	0.525	3
KSR2	0.525	3
BRAF	0.525	3
AKT2	0.521739130434783	2
PIM3	0.510180946662977	10
MARK2	0.503708791208791	5
BRSK2	0.503708791208791	5
IKKe	0.5	1
GSK3B	0.5	1
CHED	0.445739251621605	9
PFTAIRE2	0.445739251621605	9
CRK7	0.445739251621605	9
CaMK2g	0.40956670956671	4
CaMK2b	0.40956670956671	4
CaMK2d	0.40956670956671	4
CDK9	0.407277713160066	8
CCRK	0.407277713160066	8
PCTAIRE3	0.407277713160066	8
CDK7	0.407277713160066	8
PKD1	0.393650793650794	4
PKCd	0.388296721460459	7
PKCh	0.388296721460459	7
PKCe	0.388296721460459	7
PKCz	0.388296721460459	7
DCLK3	0.385180946662977	9
DCLK2	0.385180946662977	9
Obscn	0.385180946662977	9
SPEG	0.385180946662977	9
TSSK4	0.385180946662977	9
DCLK1	0.385180946662977	9
PSKH2	0.385180946662977	9
Trb2	0.385180946662977	9
PKCb	0.361269694433432	6
PKCa	0.361269694433432	6
PKCg	0.361269694433432	6
NRK	0.360959135427221	4
HIPK3	0.360773346067464	6
Trb3	0.326357417251212	8
PKD3	0.282539682539683	3
PKD2	0.282539682539683	3
DYRK1B	0.27744001273413	5
CDKL5	0.263663385516932	6
SRPK2	0.263663385516932	6
MAK	0.263663385516932	6
CLK4	0.263663385516932	6
CLK3	0.263663385516932	6
CLK2	0.263663385516932	6
CLK1	0.263663385516932	6
CDKL4	0.263663385516932	6
MSSK1	0.263663385516932	6
CDKL1	0.263663385516932	6
ICK	0.263663385516932	6
SNRK	0.253708791208791	4
MAP2K5	0.226773226773227	3
MAP2K3	0.226773226773227	3
Trb1	0.214902308892079	6
HIPK2	0.206011441305559	4
HIPK1	0.206011441305559	4
HIPK4	0.206011441305559	4
DYRK3	0.206011441305559	4
DYRK1A	0.206011441305559	4
PLK1	0.203626703626704	4
PLK4	0.203626703626704	4
PLK2	0.203626703626704	4
MAPKAPK2	0.2	1
MAPKAPK3	0.2	1
MAPKAPK5	0.2	1
MNK2	0.2	1
MNK1	0.2	1
MAP2K1	0.181318681318681	2
MAP2K7	0.181318681318681	2
MAP2K2	0.181318681318681	2
SRPK1	0.180330052183599	5
CDKL3	0.180330052183599	5
CDKL2	0.180330052183599	5
SIK	0.176785714285714	3
QIK	0.176785714285714	3
MELK	0.176785714285714	3
BRSK1	0.176785714285714	3
MARK4	0.176785714285714	3
NuaK1	0.176785714285714	3
QSK	0.176785714285714	3
NIM1	0.176785714285714	3
MARK3	0.176785714285714	3
PASK	0.176785714285714	3
NuaK2	0.176785714285714	3
CDK11	0.16071686659922	4
PITSLRE	0.16071686659922	4
CDK10	0.16071686659922	4
CDK8	0.16071686659922	4
PKCt	0.154126837290575	3
MAP2K6	0.142857142857143	1
MAP2K4	0.142857142857143	1
Trio	0.137607622901741	4
PKN2	0.133924817088554	3
YANK3	0.133924817088554	3
PKCi	0.132850241545894	2
MARK1	0.129166666666667	2
ALK	0.125	1
LTK	0.125	1
COT	0.125	1
DYRK2	0.111111111111111	1
DYRK4	0.111111111111111	1
CK1e	0.106334841628959	2
TTBK1	0.106334841628959	2
VRK3	0.106334841628959	2
CK1g1	0.106334841628959	2
TTBK2	0.106334841628959	2
VRK2	0.106334841628959	2
CK1d	0.106334841628959	2
CK1g2	0.106334841628959	2
CK1a2	0.106334841628959	2
p70S6K	0.0981996726677578	2
RSK2	0.0981996726677578	2
RSK1	0.0981996726677578	2
RSK4	0.0981996726677578	2
MSK1	0.0981996726677578	2
p70S6Kb	0.0981996726677578	2
MSK2	0.0981996726677578	2
LATS1	0.0909090909090909	1
PKN3	0.0909090909090909	1
YANK1	0.0909090909090909	1
PKN1	0.0909090909090909	1
ROCK2	0.0909090909090909	1
ROCK1	0.0909090909090909	1
MRCKa	0.0909090909090909	1
DMPK1	0.0909090909090909	1
MRCKb	0.0909090909090909	1
TGFbR1	0.0909090909090909	1
MISR2	0.0909090909090909	1
ALK4	0.0909090909090909	1
ALK1	0.0909090909090909	1
ALK2	0.0909090909090909	1
BMPR1B	0.0909090909090909	1
